MLS No,Status,DOM,Address,Unit,City,Area,LP,SP,Building Type,SqFt,Bedrooms,Baths,Baths Partial,Gar,GarSp,YrBlt,Acres,Lot SqFt,HOA Fee,HOA Fees Freq,Close Date,Age,APN,Census Tract,City Transfer Tax,Class,Co List Agent BRE Num.,Co Sell Agent BRE Num.,Comp to Selling Office,Comp Type,County,Cumulative DOMLS,Days On MLS,General Date,Dist/Neighborhood/Subdiv,Dual Variable,Fireplaces,Floor Unit is on,Foreclosure Status,HOA,How Sold,Input Date,List $/SqFt,List Agent BRE Num.,List Date,Listing Broker BRE Number,Listing Type,Number of offers,Off Market Date,Original Price,Pending Date,Pending Litigation,Occ%,Point of Sale Ordinance,Pool (Y/N),Previous Price,Price,Price Date,Price/SqFt,Rooms Total,Sale $/SqFt,Sale COOP,Sale/Last List $,Sale/Original $,Sale/Rent,Selling Broker BRE Number,Sold Agent BRE Num.,Tax ID,TIC % Owner Offered,Units in Complex,Update Date,Source,Special Information,State,Status Date,Stories,Zip,Zoning,Co-List Agent - Agent Name,Co-List Agent - License ID,Co-Sell Agent - Agent Name,Co-Sell Agent - License ID,Listing Agent - Agent Name,Listing Agent - License ID,Selling Agent 1 - Agent Name,Selling Agent 1 - License ID
40767069,ACTV,28,5555 Moraga Avenue,,OAKLAND,2611,"$1,338,000 ",,DE,3395,4,4,,Y,2,2003,0.26,"11,313",,,,14,,,Yes,RESIDENTIAL,,,2.5,%,Alameda,29,29,1/10/2017,MONTCLAIR,No,1,,,No,,1/9/2017 23:57,$394 ,1988025,1/10/2017,657088,Excl Right,,,"$1,338,000 ",,,,Yes,No,"$1,388,000 ","$1,338,000 ",1/10/2017,$394.11 ,8,,,,,For Sale,,,,,,2/2/2017,Public Records,None,CA,1/17/2017,Two Story,94704,,,,,,Herman Chan,1395481,,
40758845,ACTV,132,11 JEWELL CT,,OAKLAND,2611,"$1,895,000 ",,DE,3079,4,3,1,Y,2,2016,0.117264,"5,108",,,,1,048G744502900,4044,Yes,RESIDENTIAL,,,2.5,%,Alameda,132,132,9/28/2016,MONTCLAIR HILLS,No,3,,,No,,9/28/2016 10:25,$615 ,1449499,9/28/2016,1272467,Excl Right,,,"$1,895,000 ",,,,Yes,No,"$1,895,000 ","$1,895,000 ",9/28/2016,$615.46 ,10,,,,,For Sale,,,048G744502900,,,2/1/2017,Measured,None,CA,10/5/2016,Three or More Stories,94611,,,,,,RICK RICHETTA,1449499,,
40767071,ACTV,28,14030 Broadway Ter,,OAKLAND,2611,"$1,995,000 ",,DE,3437,4,3,1,Y,2,1994,0.15,"6,627",,,,23,48G-7427-13-3,,Yes,RESIDENTIAL,,,2.5,%,Alameda,28,28,1/10/2017,MONTCLAIR,Yes,2,,,No,,1/10/2017 0:06,$580 ,1336960,1/10/2017,1793729,Excl Right,,,"$1,995,000 ",,,,Yes,No,"$1,995,000 ","$1,995,000 ",1/10/2017,$580.45 ,12,,,,,For Sale,,,48G-7427-13-3,,,1/17/2017,Builder,None,CA,1/17/2017,Three or More Stories,94611,,,,,,Robert Combs,1336960,,
28460563,WC,53,4225 TERRACE ST,,OAKLAND,2611,"$350,000 ",,DE,3107,3,2,1,Y,1,1917,0.12,"5,040",,,,96,13-1109-9,,Yes,RESIDENTIAL,,,2.5,,Alameda,54,54,10/5/1998,,No,0,0,,No,,8/12/1998 22:00,$112 ,,8/13/1998,,Excl Right,,10/5/1998,"$350,000 ",,No,0,No,No,$0 ,"$350,000 ",,$112.65 ,7,,,,,For Sale,,,13110900900,0,0,8/18/2001,Public Records,,CA,10/5/1998,Two Story,94611,R50,,,,,STAN HICKS,799725,,
27451550,WC,117,6719 CHELTON DR,,OAKLAND,2611,"$369,000 ",,DE,2640,4,3,0,Y,1,1990,0,0,,,,23,48D-7302-6,,Yes,RESIDENTIAL,,,3,,Alameda,118,118,8/28/1997,,No,2,0,,No,,5/2/1997 22:00,$139 ,,5/3/1997,,Excl Right,,8/28/1997,"$409,000 ",,No,0,No,No,"$379,000 ","$369,000 ",,$139.77 ,8,,,,,For Sale,,,048D730200600,0,0,8/18/2001,Other,,CA,8/28/1997,Two Story,94611,,,,,,DIANE MCCAN,864962,,
28458829,WC,78,4225 TERRACE ST,,OAKLAND,2611,"$372,500 ",,DE,3107,3,2,0,Y,1,1917,0.12,"5,040",,,,96,13-1109-9,,Yes,RESIDENTIAL,,,2.5,,Alameda,79,79,8/13/1998,,No,0,0,,No,,5/26/1998 22:00,$119 ,,5/27/1998,,Excl Right,,8/13/1998,"$372,500 ",,No,0,No,No,$0 ,"$372,500 ",,$119.89 ,8,,,,,For Sale,,,13110900900,0,0,8/18/2001,Public Records,,CA,8/13/1998,Two Story,94611,R50,,,,,STAN HICKS,799725,,
27454489,WC,19,6601 HEATHER RIDGE WY,,OAKLAND,2611,"$389,000 ",,DE,2650,4,3,0,N,1,0,0.21,"9,272",,,,,48G-7442-4,,Yes,RESIDENTIAL,,,3,,Alameda,20,20,10/13/1997,,No,0,0,,No,,9/23/1997 22:00,$146 ,,9/24/1997,,Excl Right,,10/13/1997,"$389,000 ",,No,0,No,No,$0 ,"$389,000 ",,$146.79 ,8,,,,,For Sale,,,048G744200400,0,0,8/18/2001,Other,,CA,10/13/1997,Two Story,94611,,,,,,JUDY ACKERMAN,1033968,,
28457790,WC,38,2144 MASTLANDS DR,,OAKLAND,2611,"$399,000 ",,DE,3433,4,3,1,Y,3,1990,0,0,,,,23,48D-7255-25,,Yes,RESIDENTIAL,,,2.5,,Alameda,39,39,5/12/1998,MONTCLAIR,No,0,0,,No,,4/3/1998 22:00,$116 ,,4/4/1998,,Excl Right,,5/12/1998,"$399,000 ",,No,0,No,No,$0 ,"$399,000 ",,$116.22 ,9,,,,,For Sale,,,048D725502500,0,0,11/22/2010,Public Records,,CA,5/12/1998,Three or More Stories,94611,,,,,,WENDY FERRARI,812807,,
40500726,WC,22,6400 Longcroft Drive,,OAKLAND,2611,"$399,000 ",,DE,3442,4,3,1,Y,2,1999,0.17,"7,273",,,,14,48D-7277-42,4046,Yes,RESIDENTIAL,,,3,,Alameda,4,4,12/17/2010,MONTCLAIR,No,2,,,No,,12/13/2010 14:25,$116 ,,11/25/2010,,Excl Agency,,12/17/2010,"$729,000 ",,,,No,No,"$729,000 ","$399,000 ",12/13/2010,$115.92 ,8,,,,,For Sale,,,048D727704200,,,6/30/2015,Public Records,Potential Short Sale,CA,12/17/2010,Three or More Stories,94611-2523,1001,,,,,Patrice R Petersen-Sandstro,1732310,,
28459655,WC,59,2053 MANZANITA DR,,OAKLAND,2611,"$416,000 ",,DE,2832,4,3,0,Y,1,1975,0.22,"9,450",,,,38,48E-7320-11,,Yes,RESIDENTIAL,,,2.5,,Alameda,60,60,8/28/1998,MONTCLAIR,Yes,2,0,,No,,6/29/1998 22:00,$146 ,,6/30/1998,,Excl Right,,8/28/1998,"$426,000 ",,No,0,No,No,"$426,000 ","$416,000 ",,$146.89 ,8,,,,,For Sale,,,048E732001100,0,0,8/18/2001,Public Records,,CA,8/28/1998,Three or More Stories,94611,,,,,,DAVID SEYRANIAN,1031238,,
