MLS No,Status,DOM,Address,Unit,City,Area,LP,SP,Building Type,SqFt,Bedrooms,Baths,Baths Partial,Gar,GarSp,YrBlt,Acres,Lot SqFt,HOA Fee,HOA Fees Freq,Close Date,Age,APN,Census Tract,City Transfer Tax,Class,Co List Agent BRE Num.,Co Sell Agent BRE Num.,Comp to Selling Office,Comp Type,County,Cumulative DOMLS,Days On MLS,General Date,Dist/Neighborhood/Subdiv,Dual Variable,Fireplaces,Floor Unit is on,Foreclosure Status,HOA,How Sold,Input Date,List $/SqFt,List Agent BRE Num.,List Date,Listing Broker BRE Number,Listing Type,Number of offers,Off Market Date,Original Price,Pending Date,Pending Litigation,Occ%,Point of Sale Ordinance,Pool (Y/N),Previous Price,Price,Price Date,Price/SqFt,Rooms Total,Sale $/SqFt,Sale COOP,Sale/Last List $,Sale/Original $,Sale/Rent,Selling Broker BRE Number,Sold Agent BRE Num.,Tax ID,TIC % Owner Offered,Units in Complex,Update Date,Source,Special Information,State,Status Date,Stories,Zip,Zoning,Co-List Agent - Agent Name,Co-List Agent - License ID,Co-Sell Agent - Agent Name,Co-Sell Agent - License ID,Listing Agent - Agent Name,Listing Agent - License ID,Selling Agent 1 - Agent Name,Selling Agent 1 - License ID
40766083,ACTV,54,22 Yankee Hill,,OAKLAND,2618,"$1,450,000 ",,TH,2857,4,2,1,Y,2,1994,0.06,"2,788",800,Q,,22,,,Yes,RESIDENTIAL,,,2.5,%,Alameda,54,54,12/20/2016,HILLER HIGHLANDS,No,1,1,,Yes,,12/20/2016 8:44,$508 ,1435046,12/20/2016,657088,Excl Agency,,,"$1,450,000 ",,No,70,Yes,No,"$1,450,000 ","$1,450,000 ",12/20/2016,$507.53 ,9,,,,,For Sale,,,,,42,12/27/2016,Public Records,None,CA,12/27/2016,Three or More Stories,94618,,,,,,FRED PERKINS,1435046,,
40438203,WC,1,19 CAPTAINS CV,,OAKLAND,2618,"$3,600 ",,TH,2228,3,2,1,Y,4,1995,0.03,"1,502",0,A,,18,48H-7588-19,4001,Yes,RESIDENTIAL,,,None,,Alameda,1,1,11/12/2009,HILLER HIGHLANDS,No,1,2,,Yes,,11/11/2009 17:35,$2 ,,11/11/2009,,Open,,11/12/2009,"$3,600 ",,No,0,No,No,"$3,600 ","$3,600 ",11/11/2009,$1.62 ,6,,,,,For Sale,,,048H758801900,,1,11/12/2009,Other,None,CA,11/12/2009,Three or More Stories,94618-2311,1002,,,,,Paul Chahin,1140494,,
27450877,WC,165,5644 ESTATES DR,,OAKLAND,2618,"$259,000 ",,DE,1783,3,2,0,Y,2,1928,0.25,"11,022",,,,85,48B-7161-20,,Yes,RESIDENTIAL,,,3,,Alameda,166,166,9/19/1997,UPPER ROCKRIDGE,No,0,0,,No,,4/6/1997 22:00,$145 ,,4/7/1997,,Excl Right,,9/19/1997,"$279,000 ",,No,0,No,No,"$269,000 ","$259,000 ",,$145.26 ,6,,,,,For Sale,,,048B716102000,0,0,8/18/2001,Other,,CA,9/19/1997,Two Story,94618,,,,,,DAVID OTERO,1107560,,
28457358,WC,62,77 CLAREWOOD LN,,OAKLAND,2618,"$279,500 ",,TH,1830,2,2,1,Y,2,1966,0.05,"2,343",397,M,,47,48B-7155-57,,Yes,RESIDENTIAL,,,3,,Alameda,63,63,5/15/1998,UPPER ROCKRIDGE,No,1,0,,Yes,,3/13/1998 22:00,$152 ,,3/14/1998,,Excl Right,,5/15/1998,"$279,500 ",,No,97,No,No,"$2,795 ","$279,500 ",,$152.73 ,6,,,,,For Sale,,,048B715505700,0,40,12/15/2016,Public Records,,CA,5/15/1998,Other,94618,R30,,,,,MARK ROSS,1202069,,
29014290,WC,36,480 HARDY ST,,OAKLAND,2618,"$299,000 ",,DE,1747,4,2,0,N,0,1911,0.08,"3,600",,,,102,14-1257-9,,Yes,RESIDENTIAL,,,3%,,Alameda,37,37,6/25/1999,PIEDMONT HEIGHTS,No,0,0,,No,,5/19/1999 22:00,$171 ,,5/20/1999,,Excl Right,,6/25/1999,"$329,000 ",,No,0,No,No,"$329,000 ","$299,000 ",,$171.15 ,7,,,,,For Sale,,,14125700900,0,0,2/23/2002,Public Records,,CA,6/25/1999,Two Story,94618,,,,,,SHERDELLA K SIMS,769966,,
28459300,WC,27,5117 MANILA AV,,OAKLAND,2618,"$339,000 ",,DE,1720,3,2,0,N,0,1917,0,0,,,,96,14-1237-5,,Yes,RESIDENTIAL,,,3,,Alameda,28,28,7/13/1998,ROCKRIDGE UPPER,No,3,0,,No,,6/15/1998 22:00,$197 ,,6/16/1998,,Excl Right,,7/13/1998,"$339,000 ",,No,0,No,No,$0 ,"$339,000 ",,$197.09 ,8,,,,,For Sale,,,14123700500,0,0,8/18/2001,Public Records,,CA,7/13/1998,One Story,94618,,,,,,DONALD COELHO,414510,,
27452664,WC,48,4878 HARBORD DR,,OAKLAND,2618,"$339,000 ",,DE,2199,3,3,0,Y,1,1955,0.12,"5,075",,,,58,48B-7147-18-1,,Yes,RESIDENTIAL,,,3%,,Alameda,49,49,8/4/1997,UPPER ROCKRIDGE,No,1,0,,No,,6/16/1997 22:00,$154 ,,6/17/1997,,Excl Right,,8/4/1997,"$339,000 ",,No,0,No,No,$0 ,"$339,000 ",,$154.16 ,7,,,,,For Sale,,,048B714701801,0,0,11/22/2010,Public Records,,CA,8/4/1997,Two Story,94618,R-30,,,,,WENDY FERRARI,812807,,
27247769,WC,49,103 STARVIEW CT,,OAKLAND,2618,"$370,000 ",,TH,1897,2,2,0,Y,1,1991,0.03,"1,350",325,Q,,22,48H-7590-48,,Yes,RESIDENTIAL,,,3,,Alameda,50,50,1/9/1998,HILLER HIGHLANDS,No,1,0,,Yes,,11/20/1997 22:00,$195 ,,11/21/1997,,Excl Right,,1/9/1998,"$399,900 ",,No,90,No,No,"$399,900 ","$370,000 ",,$195.04 ,6,,,,,For Sale,,,048H759004800,0,100,2/17/2015,Public Records,,CA,1/9/1998,Three or More Stories,94618,PD,,,,,SUE LORENZ,,,
28115401,WC,135,6677 CHARING CROSS RD,,OAKLAND,2618,"$375,000 ",,DE,2568,3,2,1,Y,2,0,0.03,"1,421",300,Q,,,48H-7588-47,,Yes,RESIDENTIAL,,,2.5,,Alameda,136,136,6/10/1998,HILLER HIGHLANDS,No,0,0,,Yes,,1/25/1998 22:00,$146 ,,1/26/1998,,Excl Right,,6/10/1998,"$369,000 ",,No,0,No,No,"$369,000 ","$375,000 ",,$146.03 ,6,,,,,For Sale,,,048H758804700,0,0,2/17/2015,Other,,CA,6/10/1998,Three or More Stories,94618,,,,,,KAREN BEVIS,1191123,,
28461169,WC,25,5626 ESTATES DR,,OAKLAND,2618,"$389,000 ",,DE,2331,4,2,0,Y,1,0,0.26,"11,188",,,,,48B-7161-19-1,,Yes,RESIDENTIAL,,,3,,Alameda,26,26,9/28/1998,,Yes,1,0,,No,,9/2/1998 22:00,$166 ,,9/3/1998,,Excl Right,,9/28/1998,"$389,000 ",,No,0,No,No,$0 ,"$389,000 ",,$166.88 ,7,,,,,For Sale,,,048B716101901,0,0,8/18/2001,Other,,CA,9/28/1998,Two Story,94618,,,,,,MARIA SINCLAIR,678374,,
