MLS No,Status,DOM,Address,Unit,City,Area,LP,SP,Building Type,SqFt,Bedrooms,Baths,Baths Partial,Gar,GarSp,YrBlt,Acres,Lot SqFt,HOA Fee,HOA Fees Freq,Close Date,Age,APN,Census Tract,City Transfer Tax,Class,Co List Agent BRE Num.,Co Sell Agent BRE Num.,Comp to Selling Office,Comp Type,County,Cumulative DOMLS,Days On MLS,General Date,Dist/Neighborhood/Subdiv,Dual Variable,Fireplaces,Floor Unit is on,Foreclosure Status,HOA,How Sold,Input Date,List $/SqFt,List Agent BRE Num.,List Date,Listing Broker BRE Number,Listing Type,Number of offers,Off Market Date,Original Price,Pending Date,Pending Litigation,Occ%,Point of Sale Ordinance,Pool (Y/N),Previous Price,Price,Price Date,Price/SqFt,Rooms Total,Sale $/SqFt,Sale COOP,Sale/Last List $,Sale/Original $,Sale/Rent,Selling Broker BRE Number,Sold Agent BRE Num.,Tax ID,TIC % Owner Offered,Units in Complex,Update Date,Source,Special Information,State,Status Date,Stories,Zip,Zoning,Co-List Agent - Agent Name,Co-List Agent - License ID,Co-Sell Agent - Agent Name,Co-Sell Agent - License ID,Listing Agent - Agent Name,Listing Agent - License ID,Selling Agent 1 - Agent Name,Selling Agent 1 - License ID
40768676,ACTV,11,1 Ronada Ave,,OAKLAND,2611,"$1,275,000 ",,DE,4042,5,3,0,Y,2,1923,0.14,"5,940",,,,94,13-1127-11-1,,Yes,RESIDENTIAL,,,2.75,%,Alameda,11,11,1/27/2017,PIEDMONT/GRAND,Yes,1,,,No,,1/27/2017 18:05,$315 ,1315959,1/27/2017,1315959,Excl Right,,,"$1,275,000 ",,,,Yes,No,"$1,275,000 ","$1,275,000 ",1/27/2017,$315.44 ,14,,,,,For Sale,,,13-1127-11-1,,,2/3/2017,Public Records,None,CA,2/3/2017,Two Story,94611,,,,,,ERNIE SEXTON,1315959,,
40748544,ACTV,211,1 JEWELL CT,,OAKLAND,2611,"$1,988,000 ",,DE,3700,4,3,1,Y,2,2009,0.12,"5,323",,,,8,48G-7445-30,4044,Yes,RESIDENTIAL,,,2.5,%,Alameda,211,211,7/11/2016,MONTCLAIR HILLS,Yes,4,,,No,,7/11/2016 7:05,$537 ,560345,7/11/2016,560345,Excl Agency,,,"$2,188,000 ",,,,Yes,No,"$2,188,000 ","$1,988,000 ",11/14/2016,$537.30 ,12,,,,,For Sale,,,048G744503000,,,1/29/2017,Public Records,None,CA,11/21/2016,Two Story,94611,1999,,,,,Frederick Anton,560345,,
40766027,ACTV,52,7081 Broadway Terrace,,OAKLAND,2611,"$1,995,000 ",,DE,4000,4,4,1,Y,2,2016,0.13,"6,098",,,,1,048G-7424-115,,Yes,RESIDENTIAL,,,2.5,%,Alameda,52,52,12/17/2016,OAKLAND HILLS,No,1,,,No,,12/17/2016 18:08,$499 ,1243432,12/17/2016,864900,Excl Agency,,,"$1,995,000 ",,,,Yes,No,"$1,995,000 ","$1,995,000 ",12/17/2016,$498.75 ,11,,,,,For Sale,,,,,,2/4/2017,Builder,None,CA,12/24/2016,Tri-Level,94611,,,,,,Kenneth P Masters,1243432,,
40761285,ACTV,111,25 Diablo Drive,,OAKLAND,2611,"$2,189,000 ",,DE,3620,3,3,1,Y,2,2016,0.1695,"7,384",,,,1,48G7449-006,,Yes,RESIDENTIAL,,,2.5,%,Alameda,111,111,10/19/2016,MONTCLAIR,No,1,,,No,,10/19/2016 7:19,$605 ,1782154,10/19/2016,1872372,Excl Agency,,,"$2,189,000 ",,,,Yes,No,"$2,189,000 ","$2,189,000 ",10/19/2016,$604.70 ,14,,,,,For Sale,,,,,,1/24/2017,Builder,None,CA,10/26/2016,Three or More Stories,94611,,,,,,SANJEEV DHINGRA,1782154,,
40757237,ACTV,146,16 WOODMONT WAY,,OAKLAND,2611,"$3,995,000 ",,DE,9724,7,8,0,N,4,2004,0.38432,"16,741",,,,12,048H790201700,4001,Yes,RESIDENTIAL,1493849,,2.5,%,Alameda,146,146,9/14/2016,GRIZZLY PK EST.,No,3,,,No,,9/14/2016 18:12,$411 ,1344049,9/14/2016,1866771,Excl Right,,,"$3,995,000 ",,,,Yes,No,"$3,995,000 ","$3,995,000 ",9/14/2016,$410.84 ,16,,,,,For Sale,,,048H790201700,,,12/27/2016,Public Records,None,CA,9/21/2016,Three or More Stories,94611,1001,MARIA CAVALLO-MERRION,1493849,,,CARLA BUFFINGTON,1344049,,
40767504,BOMK,7,46 Carisbrook Ln,,OAKLAND,2611,"$1,568,000 ",,DE,3566,3,2,2,Y,2,2008,0.15,"6,309",,,,9,48D-7297-78,,Yes,RESIDENTIAL,,,2.5,%,Alameda,7,7,1/13/2017,PIEDMONT PINES,No,2,,,No,,1/13/2017 17:15,$440 ,1435429,1/13/2017,1170009,Excl Right,,,"$1,568,000 ",,,,Yes,No,"$1,568,000 ","$1,568,000 ",1/13/2017,$439.71 ,8,,,,,For Sale,,,48D-7297-78,,,2/7/2017,Public Records,None,CA,2/7/2017,Other,94611,,,,,,REGINA JACOBS,1435429,,
29009786,WC,92,244 29TH ST,,OAKLAND,2611,"$360,000 ",,DE,7066,7,7,0,N,1,1905,0.24,"10,500",,,,108,10-802-13,,Yes,RESIDENTIAL,,,3%,,Alameda,93,93,7/21/1999,,No,1,0,,No,,4/19/1999 22:00,$50 ,,4/20/1999,,Excl Right,,7/21/1999,"$469,000 ",,No,0,No,No,"$469,000 ","$360,000 ",,$50.95 ,19,,,,,For Sale,,,10080201300,0,0,9/8/2010,Public Records,,CA,7/21/1999,Two Story,94611,,,,,,JAMES A. DUFFY,694952,,
27242228,WC,40,3922 HARRISON ST,,OAKLAND,2611,"$365,000 ",,DE,8300,7,2,0,Y,4,1899,0.17,"7,500",,,,114,12-930-10,,Yes,RESIDENTIAL,,,3%,,Alameda,41,41,9/13/1997,ROSE GARDEN AREA,No,7,0,,No,,8/3/1997 22:00,$43 ,,8/4/1997,,Excl Right,,9/13/1997,"$365,000 ",,No,0,No,No,$0 ,"$365,000 ",,$43.98 ,11,,,,,For Sale,,,12093001000,0,0,2/17/2015,Measured,,CA,9/13/1997,Three or More Stories,94611,SFR,,,,,GORDON ALLEN,,,
27450709,WC,193,9033 SKYLINE BL,,OAKLAND,2611,"$412,000 ",,DE,3512,4,3,0,Y,1,1979,0,"6,174",,,,34,48D-7288-8-3,,Yes,RESIDENTIAL,,,3,,Alameda,194,194,10/3/1997,PIEDMONT AVENUE,Yes,1,0,,No,,3/23/1997 22:00,$117 ,,3/24/1997,,Excl Right,,10/3/1997,"$440,000 ",,No,0,No,No,"$394,000 ","$412,000 ",,$117.31 ,8,,,,,For Sale,,,048D728800803,0,0,2/17/2015,Public Records,,CA,10/3/1997,Two Story,94611,,,,,,CHARLENE W CLAYBAUGH,,,
28462267,WC,46,2405 MONTEREY BL,,OAKLAND,2611,"$449,000 ",,DE,3683,4,2,0,Y,1,1925,0.91,"40,000",,,,88,29A-1330-19-1,,Yes,RESIDENTIAL,,,6,,Alameda,47,47,12/8/1998,UPPER GRAND,No,1,0,,No,,10/22/1998 22:00,$121 ,,10/23/1998,,Excl Right,,12/8/1998,"$449,000 ",,No,0,No,No,$0 ,"$449,000 ",,$121.91 ,10,,,,,For Sale,,,029A133001901,0,0,2/17/2015,Public Records,,CA,12/8/1998,Two Story,94611,,,,,,MICHELE ALDEN,,,
